altura_fin_derecha,altura_fin_izquierda,altura_inicio_derecha,altura_inicio_izquierda,categoria,departamento_id,departamento_nombre,fuente,id,localidad_censal_id,localidad_censal_nombre,nombre,provincia_id,provincia_nombre
998,999,900,901,CALLE,14014,Capital,INDEC,1401401025420,14014010,Córdoba,GUACHIPAS,14,Córdoba
628,629,600,601,CALLE,14014,Capital,INDEC,1401401030290,14014010,Córdoba,MANUEL PINO,14,Córdoba
199,200,1,2,AV,2007,Comuna 1,INDEC,200701001665,2000010,Ciudad Autónoma de Buenos Aires,AV PTE QUINTANA,2,Ciudad Autónoma de Buenos Aires
1399,1400,1201,1202,CALLE,2007,Comuna 1,INDEC,200701001985,2000010,Ciudad Autónoma de Buenos Aires,BASAVILBASO,2,Ciudad Autónoma de Buenos Aires
1699,1700,0,0,CALLE,2007,Comuna 1,INDEC,200701000290,2000010,Ciudad Autónoma de Buenos Aires,AIME PAINE,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2007,Comuna 1,INDEC,200701003180,2000010,Ciudad Autónoma de Buenos Aires,CALLE S N,2,Ciudad Autónoma de Buenos Aires
799,800,701,702,CALLE,2007,Comuna 1,INDEC,200701004370,2000010,Ciudad Autónoma de Buenos Aires,DEL CARMEN,2,Ciudad Autónoma de Buenos Aires
299,300,201,202,CALLE,2007,Comuna 1,INDEC,200701006455,2000010,Ciudad Autónoma de Buenos Aires,IGR ENRIQUE BUTTY,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2007,Comuna 1,INDEC,200701007490,2000010,Ciudad Autónoma de Buenos Aires,LETONIA,2,Ciudad Autónoma de Buenos Aires
1799,1800,1601,1602,CALLE,2007,Comuna 1,INDEC,200701008400,2000010,Ciudad Autónoma de Buenos Aires,MOMPOX,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2007,Comuna 1,INDEC,200701008860,2000010,Ciudad Autónoma de Buenos Aires,PABLO GIORELLO,2,Ciudad Autónoma de Buenos Aires
199,200,1,2,CALLE,2007,Comuna 1,INDEC,200701008985,2000010,Ciudad Autónoma de Buenos Aires,PARERA,2,Ciudad Autónoma de Buenos Aires
899,900,801,802,CALLE,2007,Comuna 1,INDEC,200701010520,2000010,Ciudad Autónoma de Buenos Aires,SGTO CABRAL,2,Ciudad Autónoma de Buenos Aires
499,500,401,402,CALLE,2007,Comuna 1,INDEC,200701011125,2000010,Ciudad Autónoma de Buenos Aires,USPALLATA,2,Ciudad Autónoma de Buenos Aires
399,400,0,0,CALLE,2007,Comuna 1,INDEC,200701011290,2000010,Ciudad Autónoma de Buenos Aires,VICTORIA OCAMPO,2,Ciudad Autónoma de Buenos Aires
1999,2000,1901,1902,CALLE,2007,Comuna 1,INDEC,200701011330,2000010,Ciudad Autónoma de Buenos Aires,VIEYRA,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,AV,2007,Comuna 1,INDEC,200701080010,2000010,Ciudad Autónoma de Buenos Aires,AV ANTARTIDA ARGENTINA,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,AV,2007,Comuna 1,INDEC,200701080015,2000010,Ciudad Autónoma de Buenos Aires,AV ELVIRA RAWSON DE DELLEPIANE,2,Ciudad Autónoma de Buenos Aires
1699,1700,1601,1602,CALLE,2014,Comuna 2,INDEC,201401000870,2000010,Ciudad Autónoma de Buenos Aires,ARTURO CAPDEVILLA,2,Ciudad Autónoma de Buenos Aires
2399,2400,0,0,AV,2014,Comuna 2,INDEC,201401001380,2000010,Ciudad Autónoma de Buenos Aires,AV GRL GELLY Y OBES,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,AV,2014,Comuna 2,INDEC,201401001760,2000010,Ciudad Autónoma de Buenos Aires,AV TOMAS A EDISON,2,Ciudad Autónoma de Buenos Aires
1599,1600,0,0,CALLE,2014,Comuna 2,INDEC,201401001965,2000010,Ciudad Autónoma de Buenos Aires,BARRIENTOS,2,Ciudad Autónoma de Buenos Aires
2699,2700,2601,2602,CALLE,2014,Comuna 2,INDEC,201401006765,2000010,Ciudad Autónoma de Buenos Aires,JOSE LEON PAGANO,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2014,Comuna 2,INDEC,201401010585,2000010,Ciudad Autónoma de Buenos Aires,SIN CORRESPONDENCIA,2,Ciudad Autónoma de Buenos Aires
3599,3600,3201,3202,CALLE,2014,Comuna 2,INDEC,201401010625,2000010,Ciudad Autónoma de Buenos Aires,SOLER,2,Ciudad Autónoma de Buenos Aires
3199,3200,3101,3102,CALLE,2021,Comuna 3,INDEC,202101003445,2000010,Ciudad Autónoma de Buenos Aires,CARLOS GARDEL,2,Ciudad Autónoma de Buenos Aires
399,400,1,2,CALLE,2021,Comuna 3,INDEC,202101008360,2000010,Ciudad Autónoma de Buenos Aires,MISIONES,2,Ciudad Autónoma de Buenos Aires
129,130,1,2,CALLE,2021,Comuna 3,INDEC,202101010355,2000010,Ciudad Autónoma de Buenos Aires,SANCHEZ DE BUSTAMANTE,2,Ciudad Autónoma de Buenos Aires
3399,3400,3151,3152,CALLE,2028,Comuna 4,INDEC,202801000890,2000010,Ciudad Autónoma de Buenos Aires,ASCASUBI,2,Ciudad Autónoma de Buenos Aires
399,400,1,2,AV,2028,Comuna 4,INDEC,202801001050,2000010,Ciudad Autónoma de Buenos Aires,AV BENITO PEREZ GALDOS,2,Ciudad Autónoma de Buenos Aires
2299,2300,2001,2002,AV,2028,Comuna 4,INDEC,202801001190,2000010,Ciudad Autónoma de Buenos Aires,AV DARACT,2,Ciudad Autónoma de Buenos Aires
3299,3300,3201,3202,AV,2028,Comuna 4,INDEC,202801001455,2000010,Ciudad Autónoma de Buenos Aires,AV ISIDRO LOREA,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2028,Comuna 4,INDEC,202801003075,2000010,Ciudad Autónoma de Buenos Aires,CALLE S N,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2028,Comuna 4,INDEC,202801003085,2000010,Ciudad Autónoma de Buenos Aires,CALLE S N,2,Ciudad Autónoma de Buenos Aires
3399,3400,3201,3202,CALLE,2028,Comuna 4,INDEC,202801003605,2000010,Ciudad Autónoma de Buenos Aires,CAYASTA,2,Ciudad Autónoma de Buenos Aires
4299,4300,4001,4002,CALLE,2028,Comuna 4,INDEC,202801004350,2000010,Ciudad Autónoma de Buenos Aires,DEKAY,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2028,Comuna 4,INDEC,202801005620,2000010,Ciudad Autónoma de Buenos Aires,FRANCISCO CAFFERATA,2,Ciudad Autónoma de Buenos Aires
2699,2700,0,0,CALLE,2028,Comuna 4,INDEC,202801006110,2000010,Ciudad Autónoma de Buenos Aires,GUAL,2,Ciudad Autónoma de Buenos Aires
2599,2600,2401,2402,CALLE,2028,Comuna 4,INDEC,202801006435,2000010,Ciudad Autónoma de Buenos Aires,INDALECIO GOMEZ,2,Ciudad Autónoma de Buenos Aires
2599,2600,2501,2502,CALLE,2028,Comuna 4,INDEC,202801006800,2000010,Ciudad Autónoma de Buenos Aires,JOSE PAZOS,2,Ciudad Autónoma de Buenos Aires
3599,3600,3501,3502,CALLE,2028,Comuna 4,INDEC,202801006935,2000010,Ciudad Autónoma de Buenos Aires,JUAN M THOME,2,Ciudad Autónoma de Buenos Aires
699,700,601,602,CALLE,2028,Comuna 4,INDEC,202801007550,2000010,Ciudad Autónoma de Buenos Aires,LLORENTE,2,Ciudad Autónoma de Buenos Aires
599,600,501,502,CALLE,2028,Comuna 4,INDEC,202801007625,2000010,Ciudad Autónoma de Buenos Aires,LOS TELARES,2,Ciudad Autónoma de Buenos Aires
1199,1200,1101,1102,CALLE,2028,Comuna 4,INDEC,202801007660,2000010,Ciudad Autónoma de Buenos Aires,LUGO,2,Ciudad Autónoma de Buenos Aires
2599,2600,2501,2502,CALLE,2028,Comuna 4,INDEC,202801007980,2000010,Ciudad Autónoma de Buenos Aires,MARCOS SEGUIN,2,Ciudad Autónoma de Buenos Aires
2599,2600,2501,2502,CALLE,2028,Comuna 4,INDEC,202801008540,2000010,Ciudad Autónoma de Buenos Aires,MUTUALISMO,2,Ciudad Autónoma de Buenos Aires
499,500,1,2,CALLE,2028,Comuna 4,INDEC,202801008965,2000010,Ciudad Autónoma de Buenos Aires,PARACAS,2,Ciudad Autónoma de Buenos Aires
1199,1200,749,752,CALLE,2028,Comuna 4,INDEC,202801009375,2000010,Ciudad Autónoma de Buenos Aires,PILCOMAYO,2,Ciudad Autónoma de Buenos Aires
299,300,201,202,PJE,2028,Comuna 4,INDEC,202801009475,2000010,Ciudad Autónoma de Buenos Aires,PJE S N,2,Ciudad Autónoma de Buenos Aires
1199,1200,1101,1102,CALLE,2028,Comuna 4,INDEC,202801010020,2000010,Ciudad Autónoma de Buenos Aires,ROCHDALE,2,Ciudad Autónoma de Buenos Aires
2599,2600,2501,2502,CALLE,2028,Comuna 4,INDEC,202801010815,2000010,Ciudad Autónoma de Buenos Aires,TIERRA DEL FUEGO,2,Ciudad Autónoma de Buenos Aires
3299,3300,3201,3202,CALLE,2028,Comuna 4,INDEC,202801011475,2000010,Ciudad Autónoma de Buenos Aires,WILLIAM C MORRIS,2,Ciudad Autónoma de Buenos Aires
3999,4000,3901,3902,CALLE,2035,Comuna 5,INDEC,203501000640,2000010,Ciudad Autónoma de Buenos Aires,ANGEL PELUFFO,2,Ciudad Autónoma de Buenos Aires
3399,3400,3301,3302,CALLE,2035,Comuna 5,INDEC,203501002010,2000010,Ciudad Autónoma de Buenos Aires,BATHURST,2,Ciudad Autónoma de Buenos Aires
4599,4600,4401,4402,CALLE,2035,Comuna 5,INDEC,203501002245,2000010,Ciudad Autónoma de Buenos Aires,BOGADO,2,Ciudad Autónoma de Buenos Aires
3599,3600,3401,3402,CALLE,2035,Comuna 5,INDEC,203501005745,2000010,Ciudad Autónoma de Buenos Aires,GALLEGOS,2,Ciudad Autónoma de Buenos Aires
3899,3900,3801,3802,CALLE,2035,Comuna 5,INDEC,203501006425,2000010,Ciudad Autónoma de Buenos Aires,INCA,2,Ciudad Autónoma de Buenos Aires
699,700,501,502,CALLE,2035,Comuna 5,INDEC,203501006755,2000010,Ciudad Autónoma de Buenos Aires,JOSE JULIAN PEREZ,2,Ciudad Autónoma de Buenos Aires
4399,4400,4301,4302,CALLE,2035,Comuna 5,INDEC,203501008705,2000010,Ciudad Autónoma de Buenos Aires,OBRERO ROBERTO NUNEZ,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2035,Comuna 5,INDEC,203501010590,2000010,Ciudad Autónoma de Buenos Aires,SIN CORRESPONDENCIA,2,Ciudad Autónoma de Buenos Aires
499,500,0,0,CALLE,2042,Comuna 6,INDEC,204201000170,2000010,Ciudad Autónoma de Buenos Aires,ACHAVAL,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,AV,2042,Comuna 6,INDEC,204201001535,2000010,Ciudad Autónoma de Buenos Aires,AV LILLO,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,AV,2042,Comuna 6,INDEC,204201001700,2000010,Ciudad Autónoma de Buenos Aires,AV ROENTGEN,2,Ciudad Autónoma de Buenos Aires
599,600,547,548,CALLE,2042,Comuna 6,INDEC,204201002025,2000010,Ciudad Autónoma de Buenos Aires,BEADE,2,Ciudad Autónoma de Buenos Aires
699,700,601,602,CALLE,2042,Comuna 6,INDEC,204201002155,2000010,Ciudad Autónoma de Buenos Aires,BERNAL,2,Ciudad Autónoma de Buenos Aires
499,500,1,2,CALLE,2042,Comuna 6,INDEC,204201005430,2000010,Ciudad Autónoma de Buenos Aires,FEDERICO GARCIA LORCA,2,Ciudad Autónoma de Buenos Aires
599,600,1,2,CALLE,2042,Comuna 6,INDEC,204201008355,2000010,Ciudad Autónoma de Buenos Aires,MIRO,2,Ciudad Autónoma de Buenos Aires
99,100,1,2,CALLE,2042,Comuna 6,INDEC,204201009885,2000010,Ciudad Autónoma de Buenos Aires,REPUBLICA DE INDONESIA,2,Ciudad Autónoma de Buenos Aires
419,420,1,2,AV,2049,Comuna 7,INDEC,204901001790,2000010,Ciudad Autónoma de Buenos Aires,AV VERNET,2,Ciudad Autónoma de Buenos Aires
1299,1300,1201,1202,CALLE,2049,Comuna 7,INDEC,204901002075,2000010,Ciudad Autónoma de Buenos Aires,BELL VILLE,2,Ciudad Autónoma de Buenos Aires
1499,1500,1401,1402,CALLE,2049,Comuna 7,INDEC,204901002400,2000010,Ciudad Autónoma de Buenos Aires,CABALLITO,2,Ciudad Autónoma de Buenos Aires
599,600,159,160,CALLE,2049,Comuna 7,INDEC,204901002480,2000010,Ciudad Autónoma de Buenos Aires,CALCENA,2,Ciudad Autónoma de Buenos Aires
2299,2300,2001,2002,CALLE,2049,Comuna 7,INDEC,204901002565,2000010,Ciudad Autónoma de Buenos Aires,CALLE S N,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2049,Comuna 7,INDEC,204901002980,2000010,Ciudad Autónoma de Buenos Aires,CALLE S N,2,Ciudad Autónoma de Buenos Aires
1199,1200,1101,1102,CALLE,2049,Comuna 7,INDEC,204901003350,2000010,Ciudad Autónoma de Buenos Aires,CAPERUCITA,2,Ciudad Autónoma de Buenos Aires
1299,1300,1101,1102,CALLE,2049,Comuna 7,INDEC,204901003395,2000010,Ciudad Autónoma de Buenos Aires,CARICANCHA,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2049,Comuna 7,INDEC,204901003405,2000010,Ciudad Autónoma de Buenos Aires,CARLOS BERG,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2049,Comuna 7,INDEC,204901003695,2000010,Ciudad Autónoma de Buenos Aires,CHARRUA,2,Ciudad Autónoma de Buenos Aires
599,600,501,502,CALLE,2049,Comuna 7,INDEC,204901003765,2000010,Ciudad Autónoma de Buenos Aires,CIPOLLETTI,2,Ciudad Autónoma de Buenos Aires
1199,1200,1101,1102,CALLE,2049,Comuna 7,INDEC,204901007110,2000010,Ciudad Autónoma de Buenos Aires,LA CAPITAL,2,Ciudad Autónoma de Buenos Aires
1999,2000,0,0,CALLE,2049,Comuna 7,INDEC,204901009290,2000010,Ciudad Autónoma de Buenos Aires,PERGAMINO,2,Ciudad Autónoma de Buenos Aires
1299,1300,1101,1102,CALLE,2049,Comuna 7,INDEC,204901009305,2000010,Ciudad Autónoma de Buenos Aires,PERRAULT,2,Ciudad Autónoma de Buenos Aires
1299,1300,1201,1202,CALLE,2049,Comuna 7,INDEC,204901009790,2000010,Ciudad Autónoma de Buenos Aires,RAMON Y CAJAL,2,Ciudad Autónoma de Buenos Aires
1999,2000,0,0,CALLE,2049,Comuna 7,INDEC,204901010640,2000010,Ciudad Autónoma de Buenos Aires,SOMELLERA,2,Ciudad Autónoma de Buenos Aires
1899,1900,1801,1802,CALLE,2049,Comuna 7,INDEC,204901010825,2000010,Ciudad Autónoma de Buenos Aires,TIMBO,2,Ciudad Autónoma de Buenos Aires
1799,1800,1601,1602,CALLE,2049,Comuna 7,INDEC,204901011000,2000010,Ciudad Autónoma de Buenos Aires,TTE GRL N LEVALLE,2,Ciudad Autónoma de Buenos Aires
1599,1600,1501,1502,CALLE,2049,Comuna 7,INDEC,204901011060,2000010,Ciudad Autónoma de Buenos Aires,UCACHA,2,Ciudad Autónoma de Buenos Aires
1599,1600,1501,1502,CALLE,2049,Comuna 7,INDEC,204901011530,2000010,Ciudad Autónoma de Buenos Aires,ZAPALA,2,Ciudad Autónoma de Buenos Aires
4199,4200,4101,4102,CALLE,2056,Comuna 8,INDEC,205601000370,2000010,Ciudad Autónoma de Buenos Aires,ALFARERO,2,Ciudad Autónoma de Buenos Aires
2999,0,0,0,CALLE,2056,Comuna 8,INDEC,205601000900,2000010,Ciudad Autónoma de Buenos Aires,ASTURIAS,2,Ciudad Autónoma de Buenos Aires
7199,7200,7191,7192,AV,2056,Comuna 8,INDEC,205601001330,2000010,Ciudad Autónoma de Buenos Aires,AV EVA PERON,2,Ciudad Autónoma de Buenos Aires
248,249,200,201,CALLE,14014,Capital,INDEC,1401401025630,14014010,Córdoba,GUSTAVO VAN MARCK,14,Córdoba
3998,3999,3800,3801,CALLE,14014,Capital,INDEC,1401401025635,14014010,Córdoba,GUSTAVO WALTHER,14,Córdoba
2899,2900,2801,2802,CALLE,2056,Comuna 8,INDEC,205601001950,2000010,Ciudad Autónoma de Buenos Aires,BARCELONA,2,Ciudad Autónoma de Buenos Aires
4899,4900,4701,4702,CALLE,2056,Comuna 8,INDEC,205601002895,2000010,Ciudad Autónoma de Buenos Aires,CALLE S N,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2056,Comuna 8,INDEC,205601003675,2000010,Ciudad Autónoma de Buenos Aires,CHAJARI,2,Ciudad Autónoma de Buenos Aires
5599,5600,5551,5552,CALLE,2056,Comuna 8,INDEC,205601004225,2000010,Ciudad Autónoma de Buenos Aires,CURA BROCHERO,2,Ciudad Autónoma de Buenos Aires
5899,5900,0,0,CALLE,2056,Comuna 8,INDEC,205601006045,2000010,Ciudad Autónoma de Buenos Aires,GRL NAPOLEON URIBURU,2,Ciudad Autónoma de Buenos Aires
4199,4200,4101,4102,CALLE,2056,Comuna 8,INDEC,205601006200,2000010,Ciudad Autónoma de Buenos Aires,GUILLERMO HUDSON,2,Ciudad Autónoma de Buenos Aires
0,0,0,0,CALLE,2056,Comuna 8,INDEC,205601007590,2000010,Ciudad Autónoma de Buenos Aires,LOS CEDROS,2,Ciudad Autónoma de Buenos Aires
